Batch	Size	Peak
1	3	0.77784026673029
2	3	0.762527637852577
3	3	0.822436270787165
3	3	0.784586032121724
3	3	0.708563302806862
4	3	0.71095342170392
4	3	0.612301388862151
4	3	0.619115486902686
5	3	0.737176529808876
6	3	0.880071461169092
7	3	0.845099897274565
7	3	0.795436208512641
8	3	0.73214040948391
1	2	0.885284924143104
2	2	0.714926592181044
2	2	0.711446904355077
3	2	0.593395513545192
3	2	0.679804822673652
3	2	0.763160981047937
3	2	0.685880264430682
3	2	0.631296236313239
3	2	0.498209770975746
5	2	0.596993997534517
5	2	0.686926660616475
7	2	0.827800039388131
7	2	0.860018940769817
1	1	0.937916592524555
2	1	0.751743555479398
2	1	0.577884600262561
2	1	0.67707747488523
3	1	0.515991506028889
3	1	0.857690868173823
3	1	0.644011387923765
4	1	0.645070599527116
4	1	0.535486147313357
4	1	0.64648443065301
5	1	0.67091228285236
5	1	0.656890882367904
7	1	0.692004133730862
7	1	0.971478849327984
