Batch	Size	Peak
1	3	1.34002940269811
1	3	1.38309086737873
1	3	1.20993871920563
1	3	1.34774246471535
2	3	0.917226438126561
2	3	0.910917892156863
3	3	1.20318580556252
3	3	1.3451899018059
4	3	1.2579693872534
5	3	1.2315134710984
6	3	1.35661944434148
6	3	1.30588363338789
8	3	1.29173562383287
1	2	1.51544159204395
2	2	1.26159041394336
2	2	1.15557008842753
3	2	1.70629893232451
3	2	1.47921184478108
4	2	1.39739764320786
5	2	1.21143915363614
5	2	1.26958934822639
6	2	1.70343622131148
6	2	1.73180847039474
6	2	1.884791400596
7	2	1.67705896141215
7	2	1.68148944525666
2	1	1.00871940037913
3	1	1.39670089994972
3	1	1.27711521568627
3	1	1.30493356783671
3	1	1.18969909655001
5	1	1.28516885579548
6	1	1.39149767912196
6	1	1.49295730950608
6	1	1.49999522853902
6	1	1.68542901451095
7	1	1.7872099681713
7	1	1.4181162624062
