Clay	Straw	Strength
0.05190	0.00345	0.98246
0.05190	0.00345	0.26881
0.05190	0.00345	0.70469
0.05190	0.00345	2.17477
0.05190	0.00345	0.27475
0.05190	0.00345	0.23580
0.14274	0.00373	2.40086
0.14274	0.00373	2.26592
0.14274	0.00373	2.31754
0.14274	0.00373	2.32681
0.14274	0.00373	2.69775
0.14274	0.00373	2.71656
0.19464	0.00422	2.46575
0.19464	0.00422	2.46359
0.19464	0.00422	2.32138
0.19464	0.00422	2.26575
0.19464	0.00422	2.25631
0.19464	0.00422	2.29518
0.25952	0.00425	2.49844
0.25952	0.00425	2.30773
0.25952	0.00425	2.38326
0.25952	0.00425	1.99348
0.25952	0.00425	2.51283
0.25952	0.00425	2.04499
0.14274	0.00373	1.98804
0.14274	0.00373	2.31686
0.14274	0.00373	2.08160
0.14274	0.00373	2.02509
0.07517	0.01165	1.00002
0.07517	0.01165	1.59754
0.07517	0.01165	1.66908
0.07517	0.01165	1.00865
0.07517	0.01165	1.33838
0.07517	0.01165	1.47739
0.08068	0.00839	1.59102
0.08068	0.00839	1.65998
0.08068	0.00839	0.97845
0.08068	0.00839	1.66118
0.08068	0.00839	1.58013
0.08068	0.00839	1.64837
0.07618	0.00386	0.98117
0.07618	0.00386	0.97535
0.07618	0.00386	1.54843
0.07618	0.00386	1.25471
0.07618	0.00386	1.40431
0.07618	0.00386	0.99233
0.08247	0.00000	0.90740
0.08247	0.00000	0.86396
0.08247	0.00000	1.11315
0.08247	0.00000	0.96039
0.08247	0.00000	1.20980
0.08247	0.00000	1.05412
0.18683	0.00932	2.01818
0.18683	0.00932	2.01962
0.18683	0.00932	1.80492
0.18683	0.00932	1.91983
0.18683	0.00932	2.04361
0.18683	0.00932	2.04037
0.18683	0.00932	2.13211
0.18683	0.00932	2.01535
0.09498	0.00562	1.12600
0.09498	0.00562	1.47352
0.09498	0.00562	1.27138
0.09498	0.00562	1.38789
0.09498	0.00562	1.47718
0.09498	0.00562	1.29508
0.09498	0.00562	1.45133
