Soil %	Straw %	Bending
18.65	0.35	0.9131
18.65	0.35	0.7442
18.65	0.35	0.8802
18.65	0.35	0.9414
18.65	0.35	0.8607
18.65	0.35	0.3321
54.88	0.37	0.9731
54.88	0.37	0.8238
54.88	0.37	1.0794
54.88	0.37	0.7093
54.88	0.37	0.8270
54.88	0.37	0.9558
73.30	0.42	0.8932
73.30	0.42	0.8829
73.30	0.42	0.9980
73.30	0.42	1.0574
73.30	0.42	0.8615
73.30	0.42	0.5252
99.58	0.42	1.2463
99.58	0.42	0.6720
99.58	0.42	0.7164
99.58	0.42	0.7857
99.58	0.42	0.7218
99.58	0.42	0.7815
28.52	1.17	0.8471
28.52	1.17	0.7110
28.52	1.17	0.5705
28.52	1.17	0.6647
28.52	1.17	0.6442
28.52	1.17	0.7945
30.70	0.84	0.8226
30.70	0.84	0.9600
30.70	0.84	0.8813
30.70	0.84	0.8270
30.70	0.84	0.6384
30.70	0.84	0.8043
28.92	0.39	0.6915
28.92	0.39	0.6690
28.92	0.39	0.7015
28.92	0.39	0.5990
28.92	0.39	0.7021
28.92	0.39	0.7225
31.45	0.00	0.6580
31.45	0.00	0.6842
31.45	0.00	1.0183
31.45	0.00	0.7954
31.45	0.00	0.7310
31.45	0.00	0.6462
